Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
50,Steve Burke,22,SEA,AL,0,1,.000,2.87,6,0,5,0,0,0,15.2,12,6,5,0,7,1,6,0,0,1,64,147,3.31,1.213,6.9,0.0,4.0,3.4,0.86,burkest01
51,Ray Burris,26,CHC,NL,14,16,.467,4.72,39,39,0,5,1,0,221.0,270,132,116,29,67,9,105,3,0,8,970,93,4.44,1.525,11.0,1.2,2.7,4.3,1.57,burrira01
52,Jim Burton*,27,BOS,AL,0,0,,0.00,1,0,1,0,0,0,2.2,2,0,0,0,1,0,3,0,0,0,11,,1.61,1.125,6.8,0.0,3.4,10.1,3.00,burtoji01
53,Tom Buskey,30,CLE,AL,0,0,,5.29,21,0,9,0,0,0,34.0,45,24,20,6,8,1,15,1,0,1,157,75,4.94,1.559,11.9,1.6,2.1,4.0,1.88,busketo01
54,Bill Butler*,30,MIN,AL,0,1,.000,6.86,6,4,0,0,0,0,21.0,19,17,16,5,15,0,5,1,0,1,94,59,7.64,1.619,8.1,2.1,6.4,2.1,0.33,butlebi02
55,Jeff Byrd,20,TOR,AL,2,13,.133,6.18,17,17,0,1,0,0,87.1,98,68,60,5,68,1,40,0,0,3,417,68,4.90,1.901,10.1,0.5,7.0,4.1,0.59,byrdje01
56,Mike Caldwell*,28,TOT,MLB,5,8,.385,4.46,35,12,10,2,0,1,119.0,126,69,59,7,44,8,49,2,2,5,522,91,3.84,1.429,9.5,0.5,3.3,3.7,1.11,caldwmi01
57,Mike Caldwell*,28,CIN,NL,0,0,,4.01,14,0,5,0,0,1,24.2,25,11,11,1,8,1,11,0,0,1,105,99,3.35,1.338,9.1,0.4,2.9,4.0,1.38,caldwmi01
58,Mike Caldwell*,28,MIL,AL,5,8,.385,4.58,21,12,5,2,0,0,94.1,101,58,48,6,36,7,38,2,2,4,417,89,3.97,1.452,9.6,0.6,3.4,3.6,1.06,caldwmi01
59,Rick Camp,24,ATL,NL,6,3,.667,4.00,54,0,34,0,0,10,78.2,89,47,35,6,47,13,51,1,2,8,374,112,4.26,1.729,10.2,0.7,5.4,5.8,1.09,campri01
60,Bill Campbell,28,BOS,AL,13,9,.591,2.96,69,0,60,0,0,31,140.0,112,48,46,13,60,10,114,5,1,3,583,153,3.71,1.229,7.2,0.8,3.9,7.3,1.90,campbbi02
61,Dave Campbell,25,ATL,NL,0,6,.000,3.05,65,0,31,0,0,13,88.2,78,32,30,7,33,6,42,3,0,3,375,147,4.04,1.252,7.9,0.7,3.3,4.3,1.27,campbda02
62,Cardell Camper,24,CLE,AL,1,0,1.000,3.86,3,1,1,0,0,0,9.1,7,4,4,0,4,1,9,0,0,1,40,107,2.10,1.179,6.8,0.0,3.9,8.7,2.25,campeca01
63,John Candelaria*,23,PIT,NL,20,5,.800,2.34,33,33,0,6,1,0,230.2,197,64,60,29,50,2,133,2,2,1,917,169,3.90,1.071,7.7,1.1,2.0,5.2,2.66,candejo01
64,John Caneira,24,CAL,AL,2,2,.500,4.08,6,4,1,0,0,0,28.2,27,15,13,5,16,2,17,0,1,1,125,97,5.49,1.500,8.5,1.6,5.0,5.3,1.06,caneijo01
65,Doug Capilla*,25,TOT,NL,7,8,.467,4.47,24,16,3,1,0,0,108.2,96,57,54,10,61,1,75,2,0,8,472,88,4.29,1.445,8.0,0.8,5.1,6.2,1.23,capildo01
66,Doug Capilla*,25,STL,NL,0,0,,15.43,2,0,0,0,0,0,2.1,2,4,4,0,2,0,1,0,0,0,11,29,4.45,1.714,7.7,0.0,7.7,3.9,0.50,capildo01
67,Doug Capilla*,25,CIN,NL,7,8,.467,4.23,22,16,3,1,0,0,106.1,94,53,50,10,59,1,74,2,0,8,461,93,4.29,1.439,8.0,0.8,5.0,6.3,1.25,capildo01
68,Buzz Capra,29,ATL,NL,6,11,.353,5.36,45,16,7,0,0,0,139.1,142,88,83,28,80,12,100,4,0,7,633,83,5.72,1.593,9.2,1.8,5.2,6.5,1.25,caprabu01
69,Steve Carlton*,32,PHI,NL,23,10,.697,2.64,36,36,0,17,2,0,283.0,229,99,83,25,89,5,198,4,7,3,1135,153,3.47,1.124,7.3,0.8,2.8,6.3,2.22,carltst01
70,Don Carrithers,27,MIN,AL,0,1,.000,6.91,7,0,3,0,0,0,14.1,16,13,11,2,6,1,3,1,0,2,68,59,5.60,1.535,10.0,1.3,3.8,1.9,0.50,carrido01
71,Clay Carroll,36,TOT,MLB,5,5,.500,2.75,59,1,22,0,0,5,101.1,91,35,31,11,28,8,38,1,1,0,406,143,4.26,1.174,8.1,1.0,2.5,3.4,1.36,carrocl02
72,Clay Carroll,36,STL,NL,4,2,.667,2.50,51,1,16,0,0,4,90.0,77,28,25,8,24,8,34,1,1,0,357,156,3.97,1.122,7.7,0.8,2.4,3.4,1.42,carrocl02
73,Clay Carroll,36,CHW,AL,1,3,.250,4.76,8,0,6,0,0,1,11.1,14,7,6,3,4,0,4,0,0,0,49,89,6.53,1.588,11.1,2.4,3.2,3.2,1.00,carrocl02
74,Bobby Castillo,22,LAD,NL,1,0,1.000,3.97,6,1,3,0,0,0,11.1,12,5,5,2,2,0,7,0,0,0,46,100,4.33,1.235,9.5,1.6,1.6,5.6,3.50,castibo01
75,Bill Castro,25,MIL,AL,8,6,.571,4.15,51,0,43,0,0,13,69.1,76,34,32,7,23,10,28,2,0,1,297,99,4.33,1.428,9.9,0.9,3.0,3.6,1.22,castrbi01
76,Tony Chevez,24,BAL,AL,0,0,,12.38,4,0,0,0,0,0,8.0,10,13,11,3,8,1,7,2,0,0,46,32,9.61,2.250,11.3,3.4,9.0,7.9,0.88,cheveto01
77,Larry Christenson,23,PHI,NL,19,6,.760,4.06,34,34,0,5,1,0,219.1,229,113,99,21,69,1,118,7,6,7,945,99,3.95,1.359,9.4,0.9,2.8,4.8,1.71,chrisla01
78,Jim Clancy,21,TOR,AL,4,9,.308,5.05,13,13,0,4,1,0,76.2,80,47,43,7,47,1,44,0,0,4,346,84,4.62,1.657,9.4,0.8,5.5,5.2,0.94,clancji01
79,Ken Clay,23,NYY,AL,2,3,.400,4.37,21,3,11,0,0,1,55.2,53,32,27,6,24,3,20,1,0,0,239,91,4.77,1.383,8.6,1.0,3.9,3.2,0.83,clayke01
80,Reggie Cleveland,29,BOS,AL,11,8,.579,4.26,36,27,2,9,1,2,190.1,211,97,90,20,43,2,85,4,0,3,809,106,3.95,1.335,10.0,0.9,2.0,4.0,1.98,clevere01
81,Jim Colborn,31,KCR,AL,18,14,.563,3.62,36,35,0,6,1,0,239.0,233,106,96,22,81,2,103,13,3,8,1023,113,4.25,1.314,8.8,0.8,3.1,3.9,1.27,colboji01
82,Joe Coleman,30,OAK,AL,4,4,.500,2.96,43,12,14,2,0,2,127.2,114,51,42,11,49,2,55,2,0,8,532,135,4.20,1.277,8.0,0.8,3.5,3.9,1.12,colemjo05
83,Don Collins*,24,ATL,NL,3,9,.250,5.09,40,6,8,0,0,2,70.2,82,43,40,8,41,8,27,1,3,3,324,88,5.23,1.741,10.4,1.0,5.2,3.4,0.66,collido01
84,Terry Cornutt,24,SFG,NL,1,2,.333,3.86,28,1,12,0,0,0,44.1,38,24,19,4,22,5,23,0,0,3,191,102,4.36,1.353,7.7,0.8,4.5,4.7,1.05,cornute01
85,Barry Cort,21,MIL,AL,1,1,.500,3.33,7,3,1,1,0,0,24.1,25,9,9,1,9,1,17,1,0,1,102,124,3.11,1.397,9.2,0.4,3.3,6.3,1.89,cortba01
86,Jim Crawford*,26,DET,AL,7,8,.467,4.79,37,7,12,0,0,1,126.0,156,82,67,13,50,5,91,1,3,6,574,90,3.85,1.635,11.1,0.9,3.6,6.5,1.82,crawfji01
